"Geslacht";"Uitstromers ho met en zonder diploma";"Bedrijfstakken (SBI 2008)";"Studierichting";"Peilmoment";"Perioden";"Uurloon werknemers na verlaten ho (euro)"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"   15.62"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"   17.20"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"   18.88"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"   18.03"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"   18.73"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"   20.43"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"   21.01"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"   22.80"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"   23.83"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"   14.02"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"   15.86"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"   17.59"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"   20.33"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"   22.01"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"   24.52"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"   16.89"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"   23.02"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"   24.57"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"   27.03"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"   30.28"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"   11.99"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"   15.18"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"   16.35"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"   18.30"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"   20.26"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"   21.79"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"   13.43"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"   16.34"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"   18.64"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"   20.62"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"   22.25"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"   24.51"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"   14.23"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"   17.88"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"   19.98"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"   21.62"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"   24.29"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"   26.75"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"   13.83"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"   19.21"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"   22.67"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"   23.71"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"   25.34"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"   26.73"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"Direct na verlaten onderwijs";"2015/'16";"   13.02"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"   16.19"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"   18.16"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"   20.66"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"   23.30"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"   25.57"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"Direct na verlaten onderwijs";"2015/'16";"   12.54"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"   16.16"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"   19.01"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"   20.83"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"   23.56"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"   25.86"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"   12.09"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"   15.23"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"   17.56"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"   19.99"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"   22.07"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"   23.99"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"   12.81"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"   14.26"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"   16.00"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"   17.48"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"   19.53"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"   21.03"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"   11.01"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"   13.53"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"   15.93"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"   17.48"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"   19.73"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"   22.32"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"   15.37"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"   17.96"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"   19.43"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"   20.80"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"   22.63"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"   24.55"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"   16.38"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"   18.11"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"   20.16"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"   22.16"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"   24.60"
