measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Jordan,Both,All ages,Eating disorders,Number,2019,0.0026577626868676,0.0073029147699382,0.000342766522611
Deaths,Jordan,Both,All ages,Eating disorders,Percent,2019,9.888598232124753e-08,2.599211448517323e-07,1.3029369203419764e-08
Deaths,Jordan,Both,All ages,Eating disorders,Rate,2019,2.308321994191593e-05,6.342732881475911e-05,2.97699831111731e-06
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Number,2021,114.35364772875792,146.50349335357316,86.69522059728129
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0121790814420956,0.0143875841838869,0.0091463648048141
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Rate,2021,12.369590666664552,15.847227263957016,9.377789102873264
Deaths,San Marino,Both,All ages,Eating disorders,Number,2019,5.61291367500781e-06,4.289376762935624e-06,6.727730874705943e-07
Deaths,San Marino,Both,All ages,Eating disorders,Percent,2019,1.733901443509285e-08,1.3100610962885524e-08,2.159714443822595e-09
Deaths,San Marino,Both,All ages,Eating disorders,Rate,2019,1.7209395141418017e-05,1.315138338087357e-05,2.062746475924937e-06
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Number,2019,6496.214617242576,6586.176576604748,6366.281824531759
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0107909306437965,0.010924117249644,0.0106003061986444
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Rate,2019,9.659782606498233,9.793554814083029,9.466574314439912
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Number,2021,602.0186414979596,746.5887920585902,479.6806370863592
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0363258426025639,0.0416033226039494,0.0278408925832294
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Rate,2021,43.213213881492216,53.59053512442129,34.43172775123036
Deaths,Burundi,Both,All ages,Eating disorders,Number,2019,0.0012972018278451,0.0023848082747415,0.0002792808525169
Deaths,Burundi,Both,All ages,Eating disorders,Percent,2019,1.5707734424996262e-08,2.8305621756209307e-08,3.46003948177627e-09
Deaths,Burundi,Both,All ages,Eating disorders,Rate,2019,1.0514453599618329e-05,1.933003439442309e-05,2.263707544977361e-06
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Number,2019,1270.436990311931,1779.2176743245006,1035.978621004353
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0153525840845222,0.0206942823069308,0.0131285694515822
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Rate,2019,10.297511535319815,14.42142716633506,8.397112081503323
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Number,2019,3010.8370795077226,3544.0845028114586,2517.8449017742937
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0474603713550223,0.0517745386571208,0.0424866890741166
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Rate,2019,27.929955349277066,32.87661182044868,23.35672566330253
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Number,2019,35417.288375739176,38570.25404852825,32676.804519616813
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.1630310368873118,0.1848726204415336,0.1432617409336739
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Rate,2019,120.98017536598596,131.75023590733034,111.6190911975989
Deaths,Finland,Both,All ages,Eating disorders,Number,2019,1.4686321913722242,1.8870185074882169,1.1638606986737443
Deaths,Finland,Both,All ages,Eating disorders,Percent,2019,2.71184034444276e-05,3.482184937868995e-05,2.1519242054767037e-05
Deaths,Finland,Both,All ages,Eating disorders,Rate,2019,0.0265542065583756,0.034119011908966,0.0210436606110896
Deaths,Maldives,Both,All ages,Eating disorders,Number,2019,0.001174932799263,0.0031748812637965,7.812237317759058e-05
Deaths,Maldives,Both,All ages,Eating disorders,Percent,2019,9.123647085574364e-07,2.412496271680871e-06,6.1796897401397e-08
Deaths,Maldives,Both,All ages,Eating disorders,Rate,2019,0.0002408929624595,0.0006509364225538,1.6017196831110905e-05
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Number,2019,451.838937184997,567.9718841437334,339.3371231859541
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0250063180326382,0.029861559569197,0.0199179066384161
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Rate,2019,19.411481573709985,24.40067655994722,14.5782839235543
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Number,2019,995.0195695950748,1049.696519136142,938.6028120026408
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0183728050777093,0.019324709959254,0.017405185524647
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.990859342369532,18.97946834918889,16.97079302265779
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Number,2021,366.8564616987245,412.7156636645128,320.0211131541745
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0159286179983997,0.0175249535686777,0.0142605759801743
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,17.725518816682982,19.94131227333523,15.462560579370772
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Number,2021,2345.7868558757805,2735.0666912586,2032.1237730056575
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0319528042140942,0.036326937803825,0.0279009929073184
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Rate,2021,42.774054268747335,49.87234487545173,37.054591012662094
Deaths,Tonga,Both,All ages,Eating disorders,Number,2019,4.308717871307466e-05,7.022809558396855e-05,7.839188795251404e-06
Deaths,Tonga,Both,All ages,Eating disorders,Percent,2019,6.500245690411467e-08,9.852903704391629e-08,1.2754348138544489e-08
Deaths,Tonga,Both,All ages,Eating disorders,Rate,2019,4.0691812948988496e-05,6.632387208028942e-05,7.403381090518695e-06
Deaths,Mongolia,Both,All ages,Eating disorders,Number,2021,0.0326357024315673,0.0961326806493471,0.0084462676887991
Deaths,Mongolia,Both,All ages,Eating disorders,Percent,2021,1.516675536004486e-06,4.564832890102863e-06,3.963031244566434e-07
Deaths,Mongolia,Both,All ages,Eating disorders,Rate,2021,0.00097820255346,0.0028814220830494,0.0002531632538847
Deaths,Tunisia,Both,All ages,Eating disorders,Number,2021,0.003325854586788,0.0071848640477221,0.0007892104163075
Deaths,Tunisia,Both,All ages,Eating disorders,Percent,2021,3.204506526158373e-08,6.449362836176005e-08,8.079726228537151e-09
Deaths,Tunisia,Both,All ages,Eating disorders,Rate,2021,2.808387336581237e-05,6.066976375586993e-05,6.664177525562318e-06
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Number,2021,3580.1497680090865,3740.609633872477,3395.006835333674
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.020433970558059,0.0213760124981576,0.0193795831576007
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,13.880882468794637,14.503014134601148,13.163050127991616
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Number,2019,208.8443089330028,308.7683701829372,132.96731553851475
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.028113473603742,0.0360740135882778,0.0216340479638576
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.4729282832262,25.833060119755725,11.12469082967877
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Number,2021,6676.402600741606,8845.999602140319,4951.978101293817
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0426815503831258,0.049684514255058,0.0360777747007129
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,17.70732366552086,23.46158365026825,13.133761438299295
Deaths,Vanuatu,Both,All ages,Eating disorders,Number,2019,5.237844449662011e-05,8.702517107802211e-05,7.4385327963934205e-06
Deaths,Vanuatu,Both,All ages,Eating disorders,Percent,2019,2.7479991999961132e-08,4.386495104545296e-08,3.8337324268542206e-09
Deaths,Vanuatu,Both,All ages,Eating disorders,Rate,2019,1.745367020446319e-05,2.8998735072798863e-05,2.478685640267759e-06
Deaths,Djibouti,Both,All ages,Eating disorders,Number,2019,0.0002293131275112,0.0004172684529102,4.398774990853743e-05
Deaths,Djibouti,Both,All ages,Eating disorders,Percent,2019,3.0773355086785465e-08,5.217851737573443e-08,6.065508014818551e-09
Deaths,Djibouti,Both,All ages,Eating disorders,Rate,2019,1.918544896855356e-05,3.491070352744422e-05,3.680228603877969e-06
Deaths,Czechia,Both,All ages,Eating disorders,Number,2019,2.052624185103999,3.133376022501896,1.2853805269761975
Deaths,Czechia,Both,All ages,Eating disorders,Percent,2019,1.816141727346711e-05,2.773388714117589e-05,1.1464896006042396e-05
Deaths,Czechia,Both,All ages,Eating disorders,Rate,2019,0.0192802670628429,0.0294317522713414,0.0120735593087748
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Number,2019,1517.6765249255811,1583.734079104821,1442.6866286435718
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0134290096437428,0.0140410279349676,0.0127848985046458
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Rate,2019,14.255512006495245,14.87598958604272,13.551133076428805
Deaths,Grenada,Both,All ages,Eating disorders,Number,2019,3.561613027913922e-05,9.31017714487594e-05,1.1197974152316632e-05
Deaths,Grenada,Both,All ages,Eating disorders,Percent,2019,4.368706646797428e-08,1.0982228767657557e-07,1.3667195970401938e-08
Deaths,Grenada,Both,All ages,Eating disorders,Rate,2019,3.440189108915398e-05,8.992770906005714e-05,1.0816208391757602e-05
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Number,2019,462.9335226841534,549.2196919799254,394.8806978521412
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0171787450257956,0.0189570264885892,0.0155131000522768
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Rate,2019,4.020673619734812,4.770086888888323,3.429620727379926
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Number,2021,14.853315045001647,19.324258349225698,10.136235903013675
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0335434702390257,0.0394478767562133,0.0240778552267905
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Rate,2021,26.395053444528543,34.34013419619304,18.012577500430012
Deaths,France,Both,All ages,Eating disorders,Number,2019,14.36001414217608,18.458982301528,11.10749746353008
Deaths,France,Both,All ages,Eating disorders,Percent,2019,2.4193969514660503e-05,3.109269794826513e-05,1.875694949167826e-05
Deaths,France,Both,All ages,Eating disorders,Rate,2019,0.0217105307420531,0.0279076537638847,0.0167931356307636
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Number,2021,25.57293201839761,28.000256337184787,23.065314834420747
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0063358405811132,0.0067486041495511,0.0058710110524619
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Rate,2021,5.782864528023096,6.331760825523273,5.215811424661753
Deaths,Malta,Both,All ages,Eating disorders,Number,2021,0.0190330131077502,0.0242663122440587,0.008505126938853
Deaths,Malta,Both,All ages,Eating disorders,Percent,2021,4.715085783542968e-06,6.090504207407694e-06,2.141699854072839e-06
Deaths,Malta,Both,All ages,Eating disorders,Rate,2021,0.0043039779827758,0.0054873956651175,0.0019232834485166
Deaths,New Zealand,Both,All ages,Eating disorders,Number,2021,0.0026642016959183,0.0033721953316691,0.0018173536219704
Deaths,New Zealand,Both,All ages,Eating disorders,Percent,2021,7.723578699088178e-08,9.80546623313981e-08,5.265952804342318e-08
Deaths,New Zealand,Both,All ages,Eating disorders,Rate,2021,5.153679698381307e-05,6.523235326524048e-05,3.51552154653982e-05
Deaths,Bangladesh,Both,All ages,Eating disorders,Number,2019,0.2342402754194157,1.2078317091974238,0.0267029877375505
Deaths,Bangladesh,Both,All ages,Eating disorders,Percent,2019,2.5835584604462864e-07,1.277986220157788e-06,3.1438955507738683e-08
Deaths,Bangladesh,Both,All ages,Eating disorders,Rate,2019,0.0001444627999889,0.0007449049925924,1.6468510249704395e-05
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Number,2019,6.41731666895818,8.303441212678655,4.911759439169455
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0096488214701935,0.0109076818009241,0.0084507433135653
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Rate,2019,6.0605557691906204,7.841824105246251,4.638697689632267
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Number,2019,51.56378175831559,64.04076227830548,38.17730962784337
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0268742060196368,0.0312047926638083,0.0204013108122191
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.182206343730364,21.33981555179816,12.721534171963675
Deaths,Tajikistan,Both,All ages,Eating disorders,Number,2021,0.113950571773402,0.5366802380594717,0.0227586946137389
Deaths,Tajikistan,Both,All ages,Eating disorders,Percent,2021,1.9291994529445783e-06,8.934909832948015e-06,3.821579453104053e-07
Deaths,Tajikistan,Both,All ages,Eating disorders,Rate,2021,0.0011215671319665,0.0052823158850001,0.0002240041752137
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Number,2021,523.8258140747869,688.0175307560148,413.9742064343391
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0088778922290936,0.0115554102086625,0.0073310932412609
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Rate,2021,5.155795243486824,6.771864648886826,4.074572476406584
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Number,2021,23.851377847627823,30.559573836248504,17.538837767212474
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0242954058724734,0.0276847789824699,0.0202624462074205
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Rate,2021,19.68569358262171,25.222291575734847,14.47564951116637
Deaths,Slovenia,Both,All ages,Eating disorders,Number,2021,5.638814473487543e-05,6.509460837103937e-05,2.776283226059987e-05
Deaths,Slovenia,Both,All ages,Eating disorders,Percent,2021,2.4391684986152863e-09,2.8014773522885967e-09,1.2089928056681479e-09
Deaths,Slovenia,Both,All ages,Eating disorders,Rate,2021,2.7245236894769674e-06,3.14519662595731e-06,1.3414254811294935e-06
Deaths,Indonesia,Both,All ages,Eating disorders,Number,2020,1.5034953544650214,2.5155696341688185,0.5811644349113195
Deaths,Indonesia,Both,All ages,Eating disorders,Percent,2020,7.749368889866188e-07,1.3030324141916987e-06,3.060484332973332e-07
Deaths,Indonesia,Both,All ages,Eating disorders,Rate,2020,0.00054493228822,0.0009117521466584,0.0002106393374664
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Number,2019,133.39918873623623,140.93453770446226,125.78894118955952
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0148540983394305,0.0155931853334941,0.0140514473723574
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Rate,2019,3.0418340629444787,3.21365880479538,2.868301446785227
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Number,2021,808.3910226821464,1086.930755649962,608.8939228606575
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0174113088573521,0.0209456282315861,0.0143573919237279
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Rate,2021,14.993519909456664,20.15969681475092,11.293375234262204
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Number,2019,3.953194652883253,4.894661409517663,3.272126511964918
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0121921602335595,0.0136637882848923,0.0108815430714307
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Rate,2019,12.120636943933423,15.00720787046887,10.0324575358868
Deaths,Dominica,Both,All ages,Eating disorders,Number,2020,2.500479801546154e-05,5.120463003392667e-05,6.3066012462763805e-06
Deaths,Dominica,Both,All ages,Eating disorders,Percent,2020,4.085599871304924e-08,8.108779048937765e-08,1.088311866962563e-08
Deaths,Dominica,Both,All ages,Eating disorders,Rate,2020,3.713931316744164e-05,7.605359536506099e-05,9.367115805646838e-06
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Number,2021,1430.1519750670625,1938.2838054082115,1077.166547310215
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0154755000532258,0.0195352536465064,0.0129056287933814
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Rate,2021,10.777305657177298,14.606473567441316,8.117286362873527
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Number,2019,10129.710317959609,10980.452632173665,9451.6119933125
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0170668366461482,0.018427673505305,0.0159147538937201
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Rate,2019,15.314844754939,16.60105986471819,14.289645588863882
Deaths,Mali,Both,All ages,Eating disorders,Number,2019,0.001780538485941,0.0033503819501443,0.0002788304633319
Deaths,Mali,Both,All ages,Eating disorders,Percent,2019,8.963885001360181e-09,1.6064895014349484e-08,1.4100573278577884e-09
Deaths,Mali,Both,All ages,Eating disorders,Rate,2019,7.94585188111093e-06,1.4951453692911071e-05,1.2443120882084217e-06
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Number,2020,17852.876181430503,18682.331361835397,16935.1507223971
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Percent,2020,0.0591014497668321,0.0614385081007704,0.0564176224903254
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Rate,2020,36.59669066893016,38.29699455008247,34.71544114913668
Deaths,Turkmenistan,Both,All ages,Eating disorders,Number,2021,0.1133979425934171,0.342904032920186,0.0266841191062279
Deaths,Turkmenistan,Both,All ages,Eating disorders,Percent,2021,2.6077323794323907e-06,8.254446234600384e-06,6.406647767528619e-07
Deaths,Turkmenistan,Both,All ages,Eating disorders,Rate,2021,0.0021983277525964,0.006647523180808,0.0005172972123059
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Number,2021,704.4993333911027,888.6247440356553,559.1357101082975
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0161304816781537,0.0180523119866154,0.0143377448206502
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Rate,2021,13.657394489353385,17.22684196715647,10.839381393416357
Deaths,Eritrea,Both,All ages,Eating disorders,Number,2019,0.0009076745488563,0.0016675117946737,0.0002634114401836
Deaths,Eritrea,Both,All ages,Eating disorders,Percent,2019,2.066771753255756e-08,3.483421450224859e-08,6.442292240601092e-09
Deaths,Eritrea,Both,All ages,Eating disorders,Rate,2019,1.4372521702730294e-05,2.640412192751612e-05,4.170973666229839e-06
Deaths,Netherlands,Both,All ages,Eating disorders,Number,2021,5.782375945954263,7.241583749459155,4.533438027160802
Deaths,Netherlands,Both,All ages,Eating disorders,Percent,2021,3.405959522471048e-05,4.264693314290818e-05,2.6964944304374656e-05
Deaths,Netherlands,Both,All ages,Eating disorders,Rate,2021,0.0335976385673806,0.0420761492756234,0.0263408698652214
Deaths,Guinea-Bissau,Both,All ages,Self-harm and interpersonal violence,Number,2019,381.19031773855977,491.93397481426655,288.19113678327665
Deaths,Guinea-Bissau,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0238854669583204,0.0291814895825388,0.0196679797796406
Deaths,Guinea-Bissau,Both,All ages,Self-harm and interpersonal violence,Rate,2019,19.325418425361093,24.93985145618788,14.610587010337143
Deaths,Solomon Islands,Both,All ages,Eating disorders,Number,2020,9.017311984191492e-05,0.000172285113819,1.023520268813198e-05
Deaths,Solomon Islands,Both,All ages,Eating disorders,Percent,2020,2.0016338226851752e-08,3.637891971692684e-08,2.518241363827115e-09
Deaths,Solomon Islands,Both,All ages,Eating disorders,Rate,2020,1.3448404319476973e-05,2.5694573648197546e-05,1.526476451997109e-06
Deaths,Togo,Both,All ages,Eating disorders,Number,2021,0.0015393078897485,0.0030661594322854,0.0004630087340529
Deaths,Togo,Both,All ages,Eating disorders,Percent,2021,2.443711391051958e-08,4.8341229793538296e-08,8.004637340284091e-09
Deaths,Togo,Both,All ages,Eating disorders,Rate,2021,1.8388732467510816e-05,3.662866011311255e-05,5.531150588731264e-06
Deaths,North Macedonia,Both,All ages,Eating disorders,Number,2019,0.0002620340486808,0.0004519987033455,8.264983733667026e-05
Deaths,North Macedonia,Both,All ages,Eating disorders,Percent,2019,1.1100342695890918e-08,1.910712346322494e-08,3.5780080224547213e-09
Deaths,North Macedonia,Both,All ages,Eating disorders,Rate,2019,1.1991248503072318e-05,2.0684444644385094e-05,3.782236481220264e-06
Deaths,Bhutan,Both,All ages,Eating disorders,Number,2019,0.0006204432369291,0.0036914245924359,2.8697472537217573e-05
Deaths,Bhutan,Both,All ages,Eating disorders,Percent,2019,1.455975254229117e-07,8.517460445561454e-07,6.866247179284028e-09
Deaths,Bhutan,Both,All ages,Eating disorders,Rate,2019,8.168339225298142e-05,0.0004859881855568,3.7781166211571178e-06
Deaths,Bhutan,Both,All ages,Self-harm and interpersonal violence,Number,2019,50.648470759180526,71.59686733218749,37.30822671775411
Deaths,Bhutan,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0119685449474291,0.0154924574389862,0.0097644657833734
Deaths,Bhutan,Both,All ages,Self-harm and interpersonal violence,Rate,2019,6.668037715282499,9.425963005616858,4.911750722487542
Deaths,Philippines,Both,All ages,Eating disorders,Number,2019,0.3712945419191286,0.4476356221522293,0.229107693160857
Deaths,Philippines,Both,All ages,Eating disorders,Percent,2019,5.766205941341828e-07,6.833144378405119e-07,3.6129990400667865e-07
Deaths,Philippines,Both,All ages,Eating disorders,Rate,2019,0.0003361899304913,0.0004053132263107,0.0002074463552323
Deaths,Bosnia and Herzegovina,Both,All ages,Self-harm and interpersonal violence,Number,2019,434.7338818362526,499.9999789235917,387.1048920094075
Deaths,Bosnia and Herzegovina,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0111837354416789,0.0126935362635,0.0099845262616593
Deaths,Bosnia and Herzegovina,Both,All ages,Self-harm and interpersonal violence,Rate,2019,12.82146017529264,14.74633122759606,11.416754396035405
Deaths,Belgium,Both,All ages,Eating disorders,Number,2020,2.4247796483711053,3.0906370071594607,1.8849212846585977
Deaths,Belgium,Both,All ages,Eating disorders,Percent,2020,1.8998850943246287e-05,2.4313940322106413e-05,1.4878455456905356e-05
Deaths,Belgium,Both,All ages,Eating disorders,Rate,2020,0.0211889645035823,0.0270075665977121,0.0164714060593126
Deaths,Antigua and Barbuda,Both,All ages,Self-harm and interpersonal violence,Number,2021,4.127178022046164,4.474490257064329,3.812877415440308
Deaths,Antigua and Barbuda,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.0057282854424118,0.0062085560106707,0.0052930639401986
Deaths,Antigua and Barbuda,Both,All ages,Self-harm and interpersonal violence,Rate,2021,4.6167540255208905,5.005265291709947,4.265170308264173
Deaths,Tuvalu,Both,All ages,Eating disorders,Number,2019,6.238841913898199e-06,9.17276042409226e-06,1.2119941834560313e-06
Deaths,Tuvalu,Both,All ages,Eating disorders,Percent,2019,5.8226965615590434e-08,8.120717743800726e-08,1.1643018151631566e-08
Deaths,Tuvalu,Both,All ages,Eating disorders,Rate,2019,5.173041883728932e-05,7.605750316823097e-05,1.0049455909256116e-05
Deaths,Sweden,Both,All ages,Self-harm and interpersonal violence,Number,2020,1460.191692346567,1523.0369068324849,1395.791804818624
Deaths,Sweden,Both,All ages,Self-harm and interpersonal violence,Percent,2020,0.0148316381453765,0.0154429023767454,0.0141832835001855
Deaths,Sweden,Both,All ages,Self-harm and interpersonal violence,Rate,2020,14.176583425586754,14.78672963497023,13.551343340381829
Deaths,Costa Rica,Both,All ages,Self-harm and interpersonal violence,Number,2020,965.4664244239171,1007.6107176912938,921.3058758403891
Deaths,Costa Rica,Both,All ages,Self-harm and interpersonal violence,Percent,2020,0.0372769858516422,0.0387256283729575,0.0356166586509159
Deaths,Costa Rica,Both,All ages,Self-harm and interpersonal violence,Rate,2020,20.40828849631748,21.29914588267064,19.47481096374969
Deaths,Chile,Both,All ages,Eating disorders,Number,2019,0.4678119493353039,0.5877296532836577,0.3672318236254719
Deaths,Chile,Both,All ages,Eating disorders,Percent,2019,4.303994874850434e-06,5.4182759078370695e-06,3.3667258155506773e-06
Deaths,Chile,Both,All ages,Eating disorders,Rate,2019,0.0025396459471751,0.003190652214244,0.0019936190468612
Deaths,Sweden,Both,All ages,Eating disorders,Number,2020,2.1541705001570888,2.727736399338975,1.6213464572772307
Deaths,Sweden,Both,All ages,Eating disorders,Percent,2020,2.188125233479353e-05,2.756622846945184e-05,1.6404433949949875e-05
Deaths,Sweden,Both,All ages,Eating disorders,Rate,2020,0.0209142251448768,0.0264828123806778,0.015741188936935
Deaths,Myanmar,Both,All ages,Self-harm and interpersonal violence,Number,2019,3723.3640373618578,4510.516780513863,3018.2584728498314
Deaths,Myanmar,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0085933188791562,0.0094257398149939,0.0073567649927433
Deaths,Myanmar,Both,All ages,Self-harm and interpersonal violence,Rate,2019,6.733569765048322,8.157107151824698,5.458411745922821
Deaths,Solomon Islands,Both,All ages,Self-harm and interpersonal violence,Number,2020,157.56881123402562,207.88788628139324,112.29604511009715
