"Geslacht";"Persoonskenmerken";"Uitstromers ho met en zonder diploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"Uitstromers ho (aantal)"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"     900"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"     890"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"     810"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"     860"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"    6750"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"    6820"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"    6870"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"    6860"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"    6440"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"    6720"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"    1380"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"    1420"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"    1400"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"    1370"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"    1300"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"    1330"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"     600"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"     630"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"     630"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"     620"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"     340"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"     480"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"      40"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"      50"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"      60"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"      70"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"      60"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"      50"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"     260"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"     120"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"      80"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"     130"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"     130"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"      90"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"      80"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"     460"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"     230"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"      90"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"      40"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"     290"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"     150"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"      70"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"      70"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"      60"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"      60"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"      90"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"      60"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"      10"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"     120"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"     110"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"     100"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"     110"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"     170"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"     100"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"      20"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"      30"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
