"Geslacht";"Persoonskenmerken";"Uitstromers ho met en zonder diploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"Uitstromers ho (aantal)"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"    7240"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"    7520"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"    7510"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"    7480"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"    7180"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"    7380"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"    4990"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"    4980"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"    4880"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"    4760"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"    4440"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"    4590"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"   13330"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"   13330"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"   13340"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"   13330"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"   12500"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"   13010"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"    7120"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"    7040"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"    6880"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"    6780"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"    6450"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"    6550"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"    1450"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"    1460"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"    1460"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"    1420"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"     850"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"    1100"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"     130"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"     160"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"      80"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"     210"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"     100"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"      10"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"      10"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"      30"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"      70"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"     360"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"     150"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"      70"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"      80"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"     320"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"     260"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"     300"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"     220"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"     210"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"     900"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"     460"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"     190"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"     180"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"     150"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"     130"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"     370"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"     200"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"      70"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"     600"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"     330"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Met werk, met uitkering";"Sectoroverstijgend";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"      10"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"      10"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"      20"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"      10"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"     100"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"     100"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"     100"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"     130"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"      90"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"      30"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"      30"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"      50"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"      70"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"Direct na verlaten onderwijs";"2015/'16";"     240"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"     250"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"     270"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"     280"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"     430"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"     270"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"     160"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"     160"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"     180"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"     170"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"     200"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"     180"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"3 jaar na verlaten onderwijs";"2015/'16";"      40"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"4 jaar na verlaten onderwijs";"2015/'16";"      70"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Taal en cultuur";"5 jaar na verlaten onderwijs";"2015/'16";"      60"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Totaal";"Geen internationale student";"Hbo-bachelor";"Zonder werk, met uitkering";"Sectoroverstijgend";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
