Uitstromers ho met en zonder diploma,Arbeidsmarktpositie,Studierichting,Peilmoment,Perioden,Uitstromers ho (aantal)
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,7640
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,7600
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,7290
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,7490
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,5020
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,5020
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,4910
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,4780
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,4470
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,4620
Hbo-bachelor,"Met werk, zonder uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Economie,Direct na verlaten onderwijs,2015/'16,13620
Hbo-bachelor,"Met werk, zonder uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,13640
Hbo-bachelor,"Met werk, zonder uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,13620
Hbo-bachelor,"Met werk, zonder uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,13610
Hbo-bachelor,"Met werk, zonder uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,12760
Hbo-bachelor,"Met werk, zonder uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,13280
Hbo-bachelor,"Met werk, zonder uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,7130
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,7060
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,6900
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,6790
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,6460
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,6570
Hbo-bachelor,"Met werk, zonder uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,1590
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,1610
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,1590
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,1530
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,900
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,1170
Hbo-bachelor,"Met werk, zonder uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,130
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,160
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,80
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,210
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,100
Hbo-bachelor,"Met werk, met uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,30
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Met werk, met uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Met werk, met uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,100
Hbo-bachelor,"Met werk, met uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Met werk, met uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Met werk, met uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,370
Hbo-bachelor,"Met werk, met uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,160
Hbo-bachelor,"Met werk, met uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,80
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,320
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Met werk, met uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Economie,Direct na verlaten onderwijs,2015/'16,260
Hbo-bachelor,"Met werk, met uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,300
Hbo-bachelor,"Met werk, met uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,230
Hbo-bachelor,"Met werk, met uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,210
Hbo-bachelor,"Met werk, met uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,910
Hbo-bachelor,"Met werk, met uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,460
Hbo-bachelor,"Met werk, met uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,190
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,180
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,150
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,130
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,380
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,200
Hbo-bachelor,"Met werk, met uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,660
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,370
Hbo-bachelor,"Met werk, met uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, met uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, met uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,20
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,10
Hbo-bachelor,"Zonder werk, met uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,110
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,100
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,100
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,130
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Zonder werk, met uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,30
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,60
Hbo-bachelor,"Zonder werk, met uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Economie,Direct na verlaten onderwijs,2015/'16,240
Hbo-bachelor,"Zonder werk, met uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,250
Hbo-bachelor,"Zonder werk, met uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,270
Hbo-bachelor,"Zonder werk, met uitkering",Economie,3 jaar na verlaten onderwijs,2015/'16,280
Hbo-bachelor,"Zonder werk, met uitkering",Economie,4 jaar na verlaten onderwijs,2015/'16,440
Hbo-bachelor,"Zonder werk, met uitkering",Economie,5 jaar na verlaten onderwijs,2015/'16,280
Hbo-bachelor,"Zonder werk, met uitkering",Economie,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Recht,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Recht,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,Direct na verlaten onderwijs,2015/'16,160
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,1 jaar na verlaten onderwijs,2015/'16,160
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,2 jaar na verlaten onderwijs,2015/'16,180
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,3 jaar na verlaten onderwijs,2015/'16,170
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,4 jaar na verlaten onderwijs,2015/'16,200
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,5 jaar na verlaten onderwijs,2015/'16,180
Hbo-bachelor,"Zonder werk, met uitkering",Gedrag en Maatschappij,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,Direct na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,1 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,2 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,3 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,4 jaar na verlaten onderwijs,2015/'16,80
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,5 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, met uitkering",Taal en cultuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, met uitkering",Sectoroverstijgend,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,240
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,140
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,50
Hbo-bachelor,"Zonder werk, zonder uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,170
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,40
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,30
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,30
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,30
Hbo-bachelor,"Zonder werk, zonder uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Zonder werk, zonder uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,1160
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,390
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,2 jaar na verlaten onderwijs,2015/'16,270
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,3 jaar na verlaten onderwijs,2015/'16,220
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,4 jaar na verlaten onderwijs,2015/'16,150
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,5 jaar na verlaten onderwijs,2015/'16,150
Hbo-bachelor,"Zonder werk, zonder uitkering",Techniek,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,Direct na verlaten onderwijs,2015/'16,360
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,1 jaar na verlaten onderwijs,2015/'16,140
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,2 jaar na verlaten onderwijs,2015/'16,120
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,3 jaar na verlaten onderwijs,2015/'16,110
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,4 jaar na verlaten onderwijs,2015/'16,70
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,5 jaar na verlaten onderwijs,2015/'16,90
Hbo-bachelor,"Zonder werk, zonder uitkering",Gezondheidszorg,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,Direct na verlaten onderwijs,2015/'16,2050
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,1 jaar na verlaten onderwijs,2015/'16,960
Hbo-bachelor,"Zonder werk, zonder uitkering",Economie,2 jaar na verlaten onderwijs,2015/'16,640
